日期,配额类型,交易方式,本日成交量_吨,本日成交额_元,累计成交量_吨,累计成交额_元
2026-05-08,CEA25,挂牌协议交易,81400,6517170.00,5285984,416368044.45
2026-05-08,CEA25,大宗协议交易,600000,46380000.00,23554222,1736207917.46
2026-05-07,CEA25,挂牌协议交易,36000,2880000.00,5204584,409850874.45
2026-05-07,CEA25,大宗协议交易,430000,33549000.00,22954222,1689827917.46
2026-05-06,CEA25,挂牌协议交易,57500,4600500.00,5168584,406970874.45
2026-04-30,CEA25,挂牌协议交易,132000,10494500.00,5111084,402370374.45
2026-04-30,CEA25,大宗协议交易,100000,7700000.00,22524222,1656278917.46
2026-04-29,CEA25,挂牌协议交易,304735,24040063.20,4979084,391875874.45
2026-04-29,CEA25,大宗协议交易,297442,21568034.00,22424222,1648578917.46
2026-04-28,CEA25,挂牌协议交易,236912,18551136.00,4674349,367835811.25
2026-04-28,CEA25,大宗协议交易,311142,24247518.90,22126780,1627010883.46
2026-04-27,CEA25,挂牌协议交易,20001,1580019.50,4437437,349284675.25
2026-04-27,CEA25,大宗协议交易,282558,19419816.70,21815638,1602763364.56
2026-04-24,CEA25,挂牌协议交易,121700,9442600.00,4417436,347704655.75
2026-04-23,CEA25,挂牌协议交易,320801,24452158.50,4295736,338262055.75
2026-04-23,CEA25,大宗协议交易,500000,31825000.00,21533080,1583343547.86
2026-04-22,CEA25,挂牌协议交易,182999,13873724.20,3974935,313809897.25
2026-04-22,CEA25,大宗协议交易,800000,54819000.00,21033080,1551518547.86
2026-04-21,CEA25,挂牌协议交易,171000,13020500.00,3791936,299936173.05
2026-04-21,CEA25,大宗协议交易,621862,46378772.36,20233080,1496699547.86
2026-04-20,CEA25,挂牌协议交易,278700,21908300.00,3620936,286915673.05
2026-04-20,CEA25,大宗协议交易,1420000,107338000.00,19611218,1450320775.50
2026-04-17,CEA25,挂牌协议交易,11548,918720.80,3342236,265007373.05
2026-04-17,CEA25,大宗协议交易,200000,14650000.00,18191218,1342982775.50
2026-04-16,CEA25,挂牌协议交易,55000,4341000.00,3330688,264088652.25
2026-04-16,CEA25,大宗协议交易,550000,43410000.00,17991218,1328332775.50
2026-04-15,CEA25,挂牌协议交易,57000,4447200.00,3275688,259747652.25
2026-04-15,CEA25,大宗协议交易,450000,30420000.00,17441218,1284922775.50
2026-04-14,CEA25,挂牌协议交易,32000,2544700.00,3218688,255300452.25
2026-04-14,CEA25,大宗协议交易,100000,7960000.00,16991218,1254502775.50
2026-04-13,CEA25,挂牌协议交易,34952,2780110.00,3186688,252755752.25
2026-04-10,CEA25,挂牌协议交易,56022,4453949.00,3151736,249975642.25
