日期,交易品种,交易类型,收盘价（元/吨）,最高价（元/吨）,最低价（元/吨）,成交量（吨）,成交额（元）
2026-1-5,CEA,挂牌协议,74.63,74.63,74.63,1000,76390
2026-1-6,CEA,挂牌协议,74.63,74.63,74.63,5316,378510
2026-1-6,CEA,大宗协议,74.63,74.63,74.63,100000,8000000
2026-1-7,CEA,挂牌协议,77.97,79.19,74,324311,25286503.5
2026-1-7,CEA,大宗协议,77.97,79.19,74,3046405,229982688
2026-1-8,CEA,挂牌协议,78.61,83,78,57000,4481000
2026-1-8,CEA,大宗协议,78.61,83,78,706626,50747560
2026-1-9,CEA,挂牌协议,75.96,78,72.5,147410,11059230
2026-1-9,CEA,大宗协议,75.96,78,72.5,300000,22000000
2026-1-12,CEA,挂牌协议,78.31,83.4,78.19,43930,3440096.7
2026-1-12,CEA,大宗协议,78.31,83.4,78.19,400000,29435000
2026-1-13,CEA,大宗协议,78.31,0,0,1070000,67129000
2026-1-14,CEA,挂牌协议,72.5,72.5,72.5,13700,993250
2026-1-14,CEA,大宗协议,72.5,72.5,72.5,572000,35780000
2026-1-15,CEA,挂牌协议,78.5,78.5,78.5,60000,4710000
2026-1-15,CEA,大宗协议,78.5,78.5,78.5,100000,6800000
2026-1-16,CEA,大宗协议,78.5,0,0,700000,50730000
2026-1-19,CEA,挂牌协议,81,81,81,46947,3718813
2026-1-19,CEA,大宗协议,81,81,81,100000,7900000
2026-1-20,CEA,挂牌协议,73,73,73,51643,3769939
2026-1-20,CEA,大宗协议,73,73,73,200000,13800000
2026-1-21,CEA,挂牌协议,78.6,80.3,78.5,62500,4912500
2026-1-21,CEA,大宗协议,78.6,80.3,78.5,570000,35385000
2026-1-22,CEA,挂牌协议,77.27,79,73,75839,5860172
2026-1-22,CEA,大宗协议,77.27,79,73,860000,64047000
2026-1-23,CEA,挂牌协议,81,81,81,58236,4635579.6
2026-1-23,CEA,大宗协议,81,81,81,400000,32100000
2026-1-26,CEA,挂牌协议,81.79,82,81,2439,199498
2026-1-27,CEA,挂牌协议,78.48,78.5,78,111515,8750938.5
2026-1-28,CEA,挂牌协议,78.57,81,75,148090,11635516.5
2026-1-28,CEA,大宗协议,78.57,81,75,500000,38938000
2026-1-29,CEA,挂牌协议,78.5,79,78,2,157
2026-1-30,CEA,挂牌协议,79,79,79,100,7900
2026-1-30,CEA,大宗协议,79,79,79,100000,8040000
2026-2-2,CEA,挂牌协议,81,81,79,19010,1539790
2026-2-4,CEA,挂牌协议,78.74,81,78,82930,6529489
2026-2-5,CEA,大宗协议,78.74,0,0,100000,7850000
2026-2-6,CEA,挂牌协议,76.14,81,74,132640,10346135
2026-2-6,CEA,大宗协议,76.14,81,74,400000,31440000
2026-2-9,CEA,挂牌协议,80.56,82,78,131676,10615756
2026-2-9,CEA,大宗协议,80.56,82,78,400000,31440000
2026-2-10,CEA,挂牌协议,80.5,81,80,32640,2628840
2026-2-10,CEA,大宗协议,80.5,81,80,400000,31440000
2026-2-11,CEA,挂牌协议,78.7,78.7,78.7,20000,1574000
2026-2-11,CEA,大宗协议,78.7,78.7,78.7,300000,23590000
2026-2-12,CEA,大宗协议,78.7,0,0,500000,32370000
2026-2-13,CEA,挂牌协议,78.7,78.7,78.7,20000,1620000
2026-2-24,CEA,挂牌协议,81,81,81,10000,810000
2026-2-25,CEA,大宗协议,81,0,0,400000,31100000
2026-2-26,CEA,挂牌协议,81,81,81,30000,2430000
2026-2-26,CEA,大宗协议,81,81,81,400000,31440000
2026-2-27,CEA,挂牌协议,80.5,80.5,80.5,7901,636030.5
2026-2-27,CEA,大宗协议,80.5,80.5,80.5,100000,7870000
2026-3-2,CEA,大宗协议,80.5,0,0,200000,16200000
2026-3-3,CEA,挂牌协议,80.55,81.5,80.5,10500,845750
2026-3-3,CEA,大宗协议,80.55,81.5,80.5,100000,8100000
2026-3-4,CEA,挂牌协议,80.7,81.5,80.5,50000,4035000
2026-3-5,CEA,挂牌协议,81.85,83.2,80.5,100000,8185000
